         13501280 function calls (13282499 primitive calls) in 24.649 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    49818    0.019    0.000    0.057    0.000 _style_properties.py:891(__get__)
      503    0.002    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     3216    0.002    0.000    0.056    0.000 _synchronization.py:69(__aenter__)
    42967    0.016    0.000    0.055    0.000 _style_properties.py:1083(__get__)
     3216    0.006    0.000    0.054    0.000 _synchronization.py:156(acquire)
     6141    0.054    0.000    0.054    0.000 {method 'getpeername' of '_socket.socket' objects}
      585    0.006    0.000    0.054    0.000 text.py:1198(wrap)
      175    0.001    0.000    0.053    0.000 _monitor.py:309(add_data)
    49606    0.012    0.000    0.053    0.000 _style_properties.py:756(__get__)
      117    0.001    0.000    0.053    0.000 screen.py:1188(_forward_event)
     1861    0.002    0.000    0.053    0.000 text.py:686(__rich_console__)
      124    0.000    0.000    0.053    0.000 trading.py:123(fetch_user)
      444    0.001    0.000    0.052    0.000 http11.py:179(_receive_response_headers)
      669    0.008    0.000    0.052    0.000 _urlparse.py:151(urlparse)
        1    0.000    0.000    0.052    0.052 _on.py:1(<module>)
      350    0.024    0.000    0.051    0.000 _monitor.py:363(to_time)
        1    0.000    0.000    0.050    0.050 model.py:1(<module>)
        1    0.000    0.000    0.050    0.050 console.py:1(<module>)
      430    0.001    0.000    0.049    0.000 _urls.py:341(copy_with)
     4470    0.007    0.000    0.048    0.000 widget.py:3009(_get_scrollable_region)
    41190    0.014    0.000    0.048    0.000 _style_properties.py:147(__get__)
    92657    0.037    0.000    0.048    0.000 _utility.py:8(round)
3592/3574    0.003    0.000    0.048    0.000 message_pump.py:752(check_idle)
        1    0.000    0.000    0.048    0.048 app.py:1(<module>)
        1    0.000    0.000    0.048    0.048 styles.py:1(<module>)
     6093    0.047    0.000    0.047    0.000 {method 'poll' of 'select.poll' objects}
    11506    0.016    0.000    0.046    0.000 segment.py:587(divide)
      197    0.001    0.000    0.046    0.000 queue.py:154(get)
    20745    0.013    0.000    0.044    0.000 widget.py:1912(is_scrollable)
   395308    0.044    0.000    0.044    0.000 styles.py:691(has_rule)
    12824    0.022    0.000    0.043    0.000 dom.py:738(css_path_nodes)
      107    0.000    0.000    0.043    0.000 trading.py:231(fetch_market)
        1    0.000    0.000    0.043    0.043 default.py:1(<module>)
      668    0.001    0.000    0.043    0.000 _urlparse.py:124(copy_with)
    32291    0.013    0.000    0.043    0.000 _style_properties.py:614(__get__)
   211024    0.042    0.000    0.042    0.000 {method 'total_seconds' of 'datetime.timedelta' objects}
      449    0.003    0.000    0.042    0.000 _work_decorator.py:117(decorated)
      107    0.000    0.000    0.041    0.000 api_client.py:219(get_market)
      238    0.001    0.000    0.041    0.000 _models.py:309(__init__)
    12368    0.010    0.000    0.041    0.000 fractions.py:613(forward)
   348612    0.040    0.000    0.040    0.000 {method 'append' of 'list' objects}
       55    0.022    0.000    0.039    0.001 _matrix.py:98(set_canvas)
182484/179536    0.034    0.000    0.039    0.000 {built-in method builtins.getattr}
      312    0.002    0.000    0.039    0.000 text.py:776(join)
        1    0.000    0.000    0.039    0.039 command.py:1(<module>)
      124    0.000    0.000    0.039    0.000 api_client.py:152(get_user)
    29862    0.021    0.000    0.038    0.000 geometry.py:561(__add__)
      192    0.001    0.000    0.037    0.000 trading.py:358(update_product_label)
        1    0.000    0.000    0.037    0.037 trading.py:1(<module>)
     9557    0.005    0.000    0.037    0.000 control.py:137(move_to)
    17076    0.010    0.000    0.037    0.000 widget.py:1917(layer)
     2863    0.003    0.000    0.037    0.000 widget.py:3562(_on_idle)
      449    0.001    0.000    0.037    0.000 dom.py:394(run_worker)
     2242    0.004    0.000    0.036    0.000 __init__.py:280(_compile)
      321    0.001    0.000    0.036    0.000 widget.py:3177(post_render)
        2    0.000    0.000    0.036    0.018 connection.py:1(<module>)
      122    0.009    0.000    0.036    0.000 _utility.py:525(get_lim)
      238    0.001    0.000    0.036    0.000 _client.py:370(_merge_url)
      189    0.001    0.000    0.035    0.000 selector_events.py:129(_read_from_self)
    21154    0.018    0.000    0.035    0.000 style.py:757(__add__)
      112    0.000    0.000    0.035    0.000 trading.py:330(fetch_product)
       59    0.000    0.000    0.035    0.001 dom.py:1367(set_class)
       42    0.001    0.000    0.035    0.001 text.py:292(from_ansi)
      502    0.004    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      117    0.000    0.000    0.034    0.000 screen.py:436(get_style_at)
